Nom du deck,URL,Winner
Della B,https://altered.re/pages/deck?id=019e1c0a-b3fc-722b-92d4-b694813165a5,
Fen A,https://altered.re/pages/deck?id=019e1c0a-ba82-7bda-a66c-df1dfe47f220,
Fen C,https://altered.re/pages/deck?id=019e1c0a-be2e-771e-bfd9-3b390de14e17,
Fen D,https://altered.re/pages/deck?id=019e1c0a-bf97-70f5-ad13-0151d3391deb,
Gulrang A,https://altered.re/pages/deck?id=019e1c0a-c8dd-7e0f-b8c4-e6e342447786,
Gulrang B,https://altered.re/pages/deck?id=019e1c0a-ca26-7ae6-b02d-451edb3298da,1
Kauri E,https://altered.re/pages/deck?id=019e1c0a-e7b6-75a5-8b2f-a5530755d313,
Kauri F,https://altered.re/pages/deck?id=019e1c0a-e8f4-7b96-8647-3f0bcc38fe2d,
Kauri G,https://altered.re/pages/deck?id=019e1c0a-eab2-75d6-9775-c3728bbc680a,
Kojo D,https://altered.re/pages/deck?id=019e1c0a-f371-702d-a7ce-54aa59e6ee09,
Lindiwe A,https://altered.re/pages/deck?id=019e1c0a-f592-7589-9f24-0f3145aa372a,
Lindiwe B,https://altered.re/pages/deck?id=019e1c0a-f6f0-7e60-829e-ea4cdb550158,1
Lindiwe C,https://altered.re/pages/deck?id=019e1c0a-f83a-7f38-80ee-ab7018c3f6a0,
Lindiwe D,https://altered.re/pages/deck?id=019e1c0a-f986-7088-8038-a3c39258a351,
Matz D,https://altered.re/pages/deck?id=019e1c0b-0155-7ebb-8dd1-259e0f3c170d,
Nadir C,https://altered.re/pages/deck?id=019e1c0b-1f1d-7eb9-b939-f4525588d10f,
Nadir D,https://altered.re/pages/deck?id=019e1c0b-2084-7a27-9648-76f0e43df5e9,
Nadir E,https://altered.re/pages/deck?id=019e1c0b-21af-7643-a5fe-78f5b89c223d,
Nadir F,https://altered.re/pages/deck?id=019e1c0b-22ec-749a-8845-ae25b70d5970,
Nevenka A,https://altered.re/pages/deck?id=019e1c0b-240f-7114-a1d9-6e79123b3f85,
Nevenka B,https://altered.re/pages/deck?id=019e1c0b-256c-72fc-bf07-55fee2a191af,
Nevenka C,https://altered.re/pages/deck?id=019e1c0b-26ad-7881-b3d3-bd46b5d57c04,
Nevenka D,https://altered.re/pages/deck?id=019e1c0b-280f-78aa-88ed-50fec67f26fc,1
Rin A,https://altered.re/pages/deck?id=019e1c0b-2c4c-7da6-9f31-a13327fec849,
Rin C,https://altered.re/pages/deck?id=019e1c0b-2ea6-7765-85d8-6aca75f55cf7,
Rin D,https://altered.re/pages/deck?id=019e1c0b-300e-7964-b8c3-a03498ff8f50,1
Rin E,https://altered.re/pages/deck?id=019e1c0b-318e-7203-8289-3c8429ed72c2,
Rin F,https://altered.re/pages/deck?id=019e1c0b-3328-755c-a500-ec8a603d04ec,
Rin H,https://altered.re/pages/deck?id=019e1c0b-3769-7b4b-a06a-8ac21a26c7a8,
Rin I,https://altered.re/pages/deck?id=019e1c0b-395f-7f7e-8685-80cf819615a7,
Rin J,https://altered.re/pages/deck?id=019e1c0b-3ab2-7b6d-8a11-ab7f0967182e,
Sigismar A,https://altered.re/pages/deck?id=019e1c0b-4ad5-7689-bde9-23630aec2fda,
Sigismar B,https://altered.re/pages/deck?id=019e1c0b-4ec2-7087-a20f-6b7bb9d3b1e6,
Sigismar C,https://altered.re/pages/deck?id=019e1c0b-50dd-725b-889b-3186aaff97f1,1
Sigismar E,https://altered.re/pages/deck?id=019e1c0b-57c8-7804-b42f-af2ad81d5df4,
Sol A,https://altered.re/pages/deck?id=019e1c0b-58fa-7d71-a9d8-960ca314fdb3,1
Sol C,https://altered.re/pages/deck?id=019e1c0b-5c1a-7dcf-bc43-91a209dd6c4a,
Sol D,https://altered.re/pages/deck?id=019e1c0b-5d70-7f30-b3bc-966955fe5846,
Sol E,https://altered.re/pages/deck?id=019e1c0b-5eb8-7863-a56f-2ed14851223a,
Sol F,https://altered.re/pages/deck?id=019e1c0b-5ffc-7e7d-aba5-1a8e656aafb7,
Teija A,https://altered.re/pages/deck?id=019e1c0b-684a-7efa-9f55-67899fa4c8f2,
Teija B,https://altered.re/pages/deck?id=019e1c0b-6972-726c-872a-80bc1e6311a3,
Teija C,https://altered.re/pages/deck?id=019e1c0b-6a9b-752c-9cb1-1c3d189ebdc2,
Teija D,https://altered.re/pages/deck?id=019e1c0b-6dd9-7098-b17a-f9f2daeb6361,
Teija E,https://altered.re/pages/deck?id=019e1c0b-6f97-7899-80c2-a60e9affd09f,1
Teija F,https://altered.re/pages/deck?id=019e1c0b-711f-75b5-813f-4574b9fff27a,
Teija G,https://altered.re/pages/deck?id=019e1c0b-7277-703b-b931-994d73a908af,
Teija H,https://altered.re/pages/deck?id=019e1c0b-7430-7ddd-9614-adce9633274e,
Turuun A,https://altered.re/pages/deck?id=019e1c0b-7cc7-7538-9edf-247f6c6dce2c,1
Turuun B,https://altered.re/pages/deck?id=019e1c0b-7e1a-7572-a49b-60e6f1fbfb27,
Turuun C,https://altered.re/pages/deck?id=019e1c0b-7f5c-79ac-a261-cadeebe0ec63,
Afanas D,https://altered.re/pages/deck?id=019e1c0b-8277-721a-889d-3c68ebb12172,
Turuun F,https://altered.re/pages/deck?id=019e1c0b-844f-7898-9991-8a2be0f53c1e,
Turuun G,https://altered.re/pages/deck?id=019e1c0b-85e5-7ced-9520-cee8740604da,
Turuun H,https://altered.re/pages/deck?id=019e1c0b-878d-7e93-bc39-fe2af1f14647,
Turuun E,https://altered.re/pages/deck?id=019e1c0b-88f9-706c-a77b-07732f7014a0,
Afanas A,https://altered.re/pages/deck?id=019e1c0b-8a3a-7038-9773-b582fa78ac05,1
Afanas B,https://altered.re/pages/deck?id=019e1c0b-8d14-7783-bde2-bd3fbe895395,
Afanas F,https://altered.re/pages/deck?id=019e1c0b-8ead-7ca6-965d-a3ff4426bdf6,
